Country ,Lon,Lat
ACORES,-14.394,-7.969
ACORES,-9.03,38.883
ACORES,-25.171,36.971
ACORES,-6.712,41.868
ACORES,-7.932,38.079
ACORES,-8.445,41.587
ACORES,-8.47,40.157
ACORES,-9.355,38.725
ACORES,-7.48,40.265
ACORES,-7.889,38.533
ACORES,-31.131,39.455
ACORES,-7.966,37.014
ACORES,-28.03,39.092
ACORES,-28.716,38.52
ACORES,-27.093,38.764
ACORES,-8.887,39.831
ACORES,-9.036,38.704
ACORES,-25.698,37.741
ACORES,-28.44,38.554
ACORES,-8.584,37.149
ACORES,-8.681,41.248
ACORES,-28.176,38.665
ACORES,-9.339,38.831
ACORES,-8.364,39.475
ACORES,-7.72,41.274
ACORES,-7.889,40.725
AFGHANISTAN,62.228,34.21
AFGHANISTAN,70.499,34.399
AFGHANISTAN,69.212,34.566
AFGHANISTAN,65.848,31.506
AFGHANISTAN,64.759,35.934
AFGHANISTAN,67.209,36.707
AFGHANISTAN,62.261,33.391
AFGHANISTAN,65.912,36.75
AFGHANISTAN,69.532,36.775
AFGHANISTAN,68.911,36.665
ALBANIA,19.721,41.415
ALGERIA,2.814,36.504
ALGERIA,4.206,35.333
ALGERIA,5.07,36.712
ALGERIA,3.215,36.691
ALGERIA,9.452,24.293
ALGERIA,2.876,36.546
ALGERIA,6.364,36.109
ALGERIA,0.286,26.71
ALGERIA,8.484,26.573
ALGERIA,2.879,35.525
ALGERIA,5.324,36.178
ALGERIA,5.451,22.811
ALGERIA,5.873,36.795
ALGERIA,-0.242,33.536
ALGERIA,0.626,35.752
ALGERIA,7.809,36.822
ALGERIA,6.624,36.277
ALGERIA,8.121,35.431
ALGERIA,3.312,32.93
ALGERIA,1.463,35.341
ALGERIA,-0.805,35.735
ALGERIA,-8.167,27.7
ALGERIA,1.332,36.213
ALGERIA,-0.532,35.542
ALGERIA,-1.45,35.017
ALGERIA,-0.621,35.624
ALGERIA,-0.593,35.172
ALGERIA,0.147,35.208
ALGERIA,-0.186,27.837
ALGERIA,5.738,34.793
ALGERIA,2.859,30.571
ALGERIA,3.794,32.384
ALGERIA,6.14,31.673
ALGERIA,2.512,27.251
ALGERIA,6.089,33.068
ALGERIA,2.927,33.764
ALGERIA,0.276,29.237
ALGERIA,5.413,31.917
ALGERIA,9.643,28.051
ANGOLA,14.247,-6.27
ANGOLA,13.404,-12.609
ANGOLA,12.188,-5.597
ANGOLA,20.804,-7.357
ANGOLA,18.924,-8.374
ANGOLA,22.916,-11.894
ANGOLA,15.687,-17.045
ANGOLA,15.76,-12.809
ANGOLA,16.947,-12.404
ANGOLA,13.536,-12.371
ANGOLA,13.231,-8.858
ANGOLA,16.312,-9.525
ANGOLA,17.72,-14.658
ANGOLA,12.147,-15.261
ANGOLA,15.287,-7.754
ANGOLA,13.765,-10.722
ANGOLA,20.432,-9.689
ANGOLA,12.372,-6.141
ANGOLA,14.248,-7.147
ANGOLA,19.898,-11.768
ANGOLA,15.028,-7.603
ANGOLA,14.965,-16.755
ANGUILLA ISL.,-63.055,18.205
ANTARCTICA,-56.631,-64.238
ANTARCTICA,-58.987,-62.191
ANTILLES,-61.003,14.591
ANTILLES,-63.047,18.1
ANTILLES,-62.85,17.9
ANTILLES,-61.27,15.869
ANTILLES,-61.532,16.265
ANTILLES,-68.268,12.131
ANTILLES,-68.96,12.189
ANTILLES,-62.979,17.496
ANTILLES,-63.109,18.041
ARGENTINA,-91.697,14.521
ARGENTINA,-57.996,-31.297
ARGENTINA,-58.613,-33.006
ARGENTINA,-57.294,-35.348
ARGENTINA,-60.931,-34.546
ARGENTINA,-60.48,-31.795
ARGENTINA,-60.784,-32.903
ARGENTINA,-60.812,-31.712
ARGENTINA,-58.416,-34.559
ARGENTINA,-64.532,-31.007
ARGENTINA,-64.208,-31.324
ARGENTINA,-66.294,-30.345
ARGENTINA,-58.604,-34.501
ARGENTINA,-58.589,-34.453
ARGENTINA,-58.789,-34.561
ARGENTINA,-57.894,-34.972
ARGENTINA,-58.642,-34.676
ARGENTINA,-58.613,-34.61
ARGENTINA,-58.599,-34.731
ARGENTINA,-70.222,-37.444
ARGENTINA,-67.62,-39.001
ARGENTINA,-68.793,-32.832
ARGENTINA,-69.582,-35.484
ARGENTINA,-68.872,-32.866
ARGENTINA,-68.403,-34.588
ARGENTINA,-65.752,-28.596
ARGENTINA,-64.31,-27.766
ARGENTINA,-67.58,-28.038
ARGENTINA,-66.796,-29.381
ARGENTINA,-67.439,-29.224
ARGENTINA,-65.105,-26.841
ARGENTINA,-68.418,-31.571
ARGENTINA,-64.261,-33.086
ARGENTINA,-65.142,-31.941
ARGENTINA,-63.362,-34.135
ARGENTINA,-62.158,-32.684
ARGENTINA,-65.387,-33.73
ARGENTINA,-66.356,-33.273
ARGENTINA,-58.762,-27.445
ARGENTINA,-59.056,-27.45
ARGENTINA,-58.228,-26.212
ARGENTINA,-54.473,-25.738
ARGENTINA,-57.152,-29.689
ARGENTINA,-57.64,-30.272
ARGENTINA,-55.971,-27.386
ARGENTINA,-60.493,-26.756
ARGENTINA,-65.486,-24.856
ARGENTINA,-65.098,-24.393
ARGENTINA,-64.329,-23.153
ARGENTINA,-65.57,-22.162
ARGENTINA,-63.794,-22.62
ARGENTINA,-59.219,-29.106
ARGENTINA,-60.549,-24.721
ARGENTINA,-58.088,-29.223
ARGENTINA,-55.124,-27.518
ARGENTINA,-59.691,-29.21
ARGENTINA,-57.979,-29.771
ARGENTINA,-71.532,-41.943
ARGENTINA,-67.466,-45.785
ARGENTINA,-71.17,-42.031
ARGENTINA,-71.139,-42.908
ARGENTINA,-68.966,-46.538
ARGENTINA,-65.27,-43.21
ARGENTINA,-63,-40.869
ARGENTINA,-65.102,-42.759
ARGENTINA,-72.248,-50.335
ARGENTINA,-65.904,-47.735
ARGENTINA,-67.749,-53.777
ARGENTINA,-69.313,-51.609
ARGENTINA,-68.296,-54.843
ARGENTINA,-67.802,-49.307
ARGENTINA,-70.459,-44.048
ARGENTINA,-72.217,-51.606
ARGENTINA,-68.579,-50.016
ARGENTINA,-62.169,-38.725
ARGENTINA,-61.889,-37.446
ARGENTINA,-57.722,-36.32
ARGENTINA,-60.216,-36.891
ARGENTINA,-63.758,-35.696
ARGENTINA,-60.329,-38.387
ARGENTINA,-61.076,-36.187
ARGENTINA,-56.722,-36.542
ARGENTINA,-57.573,-37.934
ARGENTINA,-68.156,-38.949
ARGENTINA,-58.816,-38.489
ARGENTINA,-61.858,-35.846
ARGENTINA,-64.275,-36.588
ARGENTINA,-71.157,-41.151
ARGENTINA,-59.228,-37.237
ARGENTINA,-57.029,-37.235
ARGENTINA,-69.264,-38.939
ARGENTINA,-71.137,-40.075
ARUBA,-70.015,12.501
AUSTRALIA,153.008,-27.57
AUSTRALIA,142.459,-10.951
AUSTRALIA,133.902,-23.807
AUSTRALIA,153.118,-27.384
AUSTRALIA,153.505,-28.164
AUSTRALIA,145.755,-16.886
AUSTRALIA,146.262,-26.413
AUSTRALIA,139.489,-20.664
AUSTRALIA,153.091,-26.603
AUSTRALIA,149.18,-21.172
AUSTRALIA,151.735,-27.411
AUSTRALIA,148.552,-20.495
AUSTRALIA,150.475,-23.382
AUSTRALIA,146.765,-19.253
AUSTRALIA,141.925,-12.679
AUSTRALIA,144.469,-38.039
AUSTRALIA,146.958,-36.068
AUSTRALIA,144.902,-37.728
AUSTRALIA,147.149,-38.099
AUSTRALIA,147.51,-42.836
AUSTRALIA,147.214,-41.545
AUSTRALIA,145.102,-37.976
AUSTRALIA,144.843,-37.673
AUSTRALIA,144.753,-37.932
AUSTRALIA,138.531,-34.945
AUSTRALIA,137.717,-32.507
AUSTRALIA,138.621,-34.703
AUSTRALIA,115.881,-32.097
AUSTRALIA,116.773,-20.712
AUSTRALIA,121.462,-30.789
AUSTRALIA,128.707,-15.778
AUSTRALIA,114.089,-22.236
AUSTRALIA,118.626,-20.378
AUSTRALIA,138.633,-34.793
AUSTRALIA,115.967,-31.94
AUSTRALIA,136.817,-31.144
AUSTRALIA,150.988,-33.924
AUSTRALIA,149.194,-35.308
AUSTRALIA,153.116,-30.321
AUSTRALIA,150.687,-34.04
AUSTRALIA,148.575,-32.217
AUSTRALIA,167.939,-29.041
AUSTRALIA,150.781,-33.601
AUSTRALIA,151.177,-33.946
AUSTRALIA,150.847,-31.084
AUSTRALIA,147.466,-35.165
AUSTRIA,16.26,47.843
AUSTRIA,14.041,48.183
AUSTRIA,15.433,47
AUSTRIA,11.344,47.26
AUSTRIA,14.333,46.65
AUSTRIA,14.183,48.233
AUSTRIA,16.5,48
AUSTRIA,13.004,47.793
AUSTRIA,16.57,48.11
AUSTRIA,15.439,46.991
AUSTRIA,14.338,46.642
AUSTRIA,14.188,48.233
AUSTRIA,16.112,48.321
AUSTRIA,14.744,47.203
BAHAMAS,-77.684,24.288
BAHAMAS,-77.796,24.698
BAHAMAS,-77.59,24.159
BAHAMAS,-77.083,26.511
BAHAMAS,-78.049,25.054
BAHAMAS,-73.971,22.442
BAHAMAS,-77.395,26.004
BAHAMAS,-77.391,26.745
BAHAMAS,-77.881,25.417
BAHAMAS,-77.84,25.738
BAHAMAS,-79.264,25.7
BAHAMAS,-75.674,24.629
BAHAMAS,-75.454,24.315
BAHAMAS,-74.182,22.746
BAHAMAS,-75.878,23.563
BAHAMAS,-76.681,25.476
BAHAMAS,-76.331,25.284
BAHAMAS,-76.832,24.594
BAHAMAS,-76.178,24.892
BAHAMAS,-76.439,24.169
BAHAMAS,-78.695,26.559
BAHAMAS,-78.978,26.686
BAHAMAS,-73.667,20.975
BAHAMAS,-75.093,23.179
BAHAMAS,-75.269,23.583
BAHAMAS,-73.013,22.379
BAHAMAS,-77.466,25.039
BAHAMAS,-75.729,22.182
BAHAMAS,-74.524,24.063
BAHRAIN,50.634,26.271
BAHRAIN,50.591,25.918
BANGLADESH,91.964,21.452
BANGLADESH,91.813,22.249
BANGLADESH,89.049,24.152
BANGLADESH,89.161,23.184
BANGLADESH,88.616,24.437
BANGLADESH,88.909,25.759
BANGLADESH,91.867,24.963
BANGLADESH,90.382,23.778
BANGLADESH,90.398,23.843
BARBADOS,-59.492,13.074
BELGIUM,4.463,51.19
BELGIUM,4.768,50.759
BELGIUM,5.471,51.168
BELGIUM,4.499,50.902
BELGIUM,4.5,51.333
BELGIUM,5.229,49.887
BELGIUM,4.454,50.459
BELGIUM,3.831,50.576
BELGIUM,2.653,51.09
BELGIUM,4.649,50.244
BELGIUM,3.208,50.818
BELGIUM,5.443,50.637
BELGIUM,2.862,51.199
BELGIUM,5.592,50.948
BELGIUM,5.193,50.788
BELGIUM,3.474,51.144
BELGIUM,4.961,51.395
BELGIUM,4.755,51.266
BELIZE,-88.308,17.539
BENIN,2.384,6.357
BENIN,2.609,9.357
BHUTAN,89.426,27.403
BOLIVIA,-68.411,-14.739
BOLIVIA,-63.092,-15.719
BOLIVIA,-64.315,-22.769
BOLIVIA,-63.527,-20.007
BOLIVIA,-66.177,-17.421
BOLIVIA,-65.141,-16.99
BOLIVIA,-69.434,-17.594
BOLIVIA,-68.783,-11.04
BOLIVIA,-62.026,-16.143
BOLIVIA,-65.346,-10.822
BOLIVIA,-64.662,-13.053
BOLIVIA,-68.192,-16.513
